post_id,post_date,post_images,post
2023-10-03_16-38-21,2023-10-03 16:38:21,['2023-10-03_16-38-21_UTC.jpg'],"“E também nos alegramos nas dificuldades, pois sabemos que elas produzem a paciência, a paciência traz a aprovação de Deus, e essa aprovação cria a esperança”. —Romanos 5:3,4

Meu filho amado, meu Esdras. Não foi à toa que este nome te foi escolhido. Deus já sabia! 

Você foi concebido em um momento difícil, em que nossa família passava por muitas dificuldades e precisávamos constantemente do socorro do Senhor. 

Você é Esdras, você é ajudador desde o início de sua vida. Você está constantemente nos apontando ao Ajudador que temos nos céus. 

Você é meu menino de choro fácil, mas principalmente de riso fácil. Aquele que traz leveza pra nossas vidas com seu jeito de ser e sua espontaneidade, aquele que torna nossas vidas mais agitadas, aquele que nos impede de esfriar.

Mas eu quero dizer algo mais do que isso. Eu quero te dizer que eu tenho certeza que desde a sua concepção Deus tem te preparado para esta missão tão linda de Ajudador. 

Eu sei disso, porque você é feliz nesse lugar: você não faz questão de estar no centro, você não se importa de ser o melhor, mas você brilha quando vê alguém que você ama brilhar. 

Eu também sei disso por todas as dificuldades pelas quais o Senhor tem te carregado. Pois você foi o terceiro filho e precisou se virar em muitas coisas. E você sempre se saiu muito bem: aprendeu super rápido a comer sozinho, desfraldou sozinho sem eu nem ensinar, aprendeu a andar de bicicleta sozinho, sempre foi independente pra brincar…

Mas o que dizer dos últimos dois anos, meu amor? Você tinha acabado de fazer quatro aninhos quando perdeu a presença e atenção da mamãe. Você se virou pra tomar banho, pra escovar seus dentinhos, pra cuidar do seu quarto e dos seus brinquedos e pra dar conta da sua pequena vida frequentemente sem o suporte atencioso que mamãe deu aos seus irmãos. 

E você tem se saído muito melhor que a encomenda! Nesse tempo você não só aprendeu a cuidar sozinho de si mesmo e das suas coisas, mas virou um excelente jogador e goleiro, aprendeu a ler e escrever, e tantas outras conquistas! 

Você já é um verdadeiro campeão. Mas, acredite em mim, tudo isso é Deus te fazendo um ajudador cada vez melhor! 

Parabéns pelo seu aniversário!
"
2023-09-26_23-18-22,2023-09-26 23:18:22,['2023-09-26_23-18-22_UTC.jpg'],"“Mulher virtuosa quem a achará? O seu valor muito excede ao de rubis. Levantam-se seus filhos e chamam-na bem-aventurada”. —Provérbios 31

Ao me deparar com a morte, fui levada a olhar para trás e para frente várias vezes, tentando revisar a minha história e entender se estava no caminho em que deveria estar ou se precisava mudar tudo dali em diante. 

Uma das coisas que eu precisei revisar foi a minha maternidade. Mas não cheguei a uma resposta afinal. Cheguei apenas a uma pergunta, a mais importante: eu tenho o respeito dos meus filhos? 

Sim, respeito. Muita gente busca o amor dos filhos, querem ser seus amigos, temem desaponta-los. Mas eu aprendi ao longo da jornada com Deus a considerar a supremacia de Seus mandamentos. Deus não ordena que os filhos “amem teu pai e a tua mãe para que se prolonguem os teus dias na terra”, mas Ele ordena que os pais sejam *honrados*. 

Durante os últimos dez anos, desde a concepção de minha primeira filha, eu tenho lutado e trabalhado com verdadeiro amor por eles, e me esforçado para ser alguém “fácil de honrar”. 

Mas, eu não tenho a resposta. Será que tenho o respeito dos meus filhos? Como eles se lembrarão de mim? Será que eles vão louvar a mãe que eu fui? 

Mais do que meus amigos, meu desejo e oração  é que eu possa usar o resto dos meus dias para continuar trabalhando para que meus filhos sejam meus imitadores (assim como eu sou de Cristo).
"
2023-09-21_00-14-50,2023-09-21 00:14:50,['2023-09-21_00-14-50_UTC.jpg'],"Eu não tenho muito para escrever aqui, exceto que a amizade é um meio pelo qual o Senhor vivifica nossas almas cansadas.
.
Oro diariamente para que esses dois que brigam entre si todos os dias, saibam se amar com verdadeira lealdade e honra durante a vida nessa terra.
.
“Oh! quão bom e quão suave é que os irmãos vivam em união. É como o orvalho de Hermom, e como o que desce sobre os montes de Sião, porque ali o Senhor ordena a bênção e a vida para sempre.”

Salmos 133:1,3
"
2023-09-16_13-01-49,2023-09-16 13:01:49,['2023-09-16_13-01-49_UTC.jpg'],"O que esta foto mostra: uma casa incompleta ou uma casa sendo construída? 
.
A minha tendência sempre foi ter um olhar meio pessimista diante da vida, principalmente quando as coisas começam a sair dos planos. Mas até nisso Deus tem vindo ao meu encontro e tratado meu coração. 
.
Vocês sabem, eu queria muito estar morando aí. Nós reunimos os recursos, nós trabalhamos duramente. Mas o nosso esforço não foi suficiente. Como se Deus estivesse nos dizendo: depende de mim, do meu tempo - vocês precisam olhar a casa pronta e reconhecer que foi Eu.
.
Assim Ele fez com toda a minha vida desde o câncer. Eu olhava para o meu casamento e via algo incompleto, olhava pra minha casa e via incompleta, olhava para a alimentação dos meus filhos (tratando disbiose) e estava incompleta, olhava pra formação do caráter deles, e também estava incompleta. De repente, eu havia sido deixada sem forças, sem recursos e sem qualquer capacidade de concluir aquelas “obras mal acabadas”.
.
Mas depois dessa questão da construção da casa, Deus me remeteu a pergunta: será que seu trabalho enquanto cristã e a sua casa estão incompletos ou em construção?

Quer dizer, se eu olhar pra tudo isso como Minhas Obras, sim, estão incompletas. Mas são mesmo minhas ou de Deus? Se são de Deus, então Ele me deu o privilégio de iniciar estas construções e, mesmo que eu pare em algum ponto do caminho, Ele vai levar a obra até o final.
.
Não, esta casa não ficará incompleta, nem o meu casamento, nem a educação dos meus filhos, nem nada do que Ele colocou em minhas mãos e me impediu de realizar. Porque, no fim, abriremos as nossas bocas em louvor e gratidão a Ele que finaliza Suas obras mesmo quando nós mesmos somos incapazes de fazer qualquer coisa pra ajudar.
"
2023-09-12_21-04-23,2023-09-12 21:04:23,['2023-09-12_21-04-23_UTC.jpg'],"Deus se importa com meus filhos bem mais do que eu. Ele vai cuidar, se a Sua vontade for me levar. Ele vai cuidar.

Cantai a Deus, cantai louvores ao seu nome; louvai aquele que vai montado sobre os céus, pois o seu nome é Senhor, e exultai diante dele.

Pai de órfãos e juiz de viúvas é Deus, no seu lugar santo. Deus faz que o solitário viva em família; liberta aqueles que estão presos em grilhões.

Bendito seja o Senhor, que de dia em dia nos carrega de benefícios; o Deus que é a nossa salvação. O nosso Deus é o Deus da salvação; e a DEUS, o Senhor, pertencem os livramentos da morte. 

Salmos 68
"
2023-09-07_12-21-40,2023-09-07 12:21:40,['2023-09-07_12-21-40_UTC.jpg'],"“Não presumas do dia de amanhã, porque não sabes o que ele trará.” (Provérbios 27:1)

Eu costumava ler esse versículo e pensar sobre as vezes que a gente presume que fará isso e aquilo, faz planos, e nem pensa em qual é a vontade de Deus. 

Refletia nesse versículo à luz de Tiago 4:13-15. E é uma reflexão acertada, valiosa.

No entanto, semana passada, enquanto pensava nesta semana (rs), pensava na ExpoHomeschooling e em tantas pessoas maravilhosas que estariam aqui em Brasília e eu gostaria de abraçar, talvez, pela única ou última vez, eu me entristeci.

E eu me entristeci porque estava mal e fiquei resfriada. Estava completamente sem força e, por isso, presumi sobre “o dia de amanhã” que não conseguiria estar com as pessoas queridas e aproveitar a companhia delas. Presumi que não conseguiria ir à Expo e abraçar as tantas pessoas que demonstram seu amor por mim aqui nesta rede e por meio de suas orações. Enfim, presumi que “o dia de amanhã” seria tão difícil quanto o de ontem.

Mas o Espírito Santo de Deus me lembrou deste versículo. “Não presumas… você não sabe qual será a vontade do Senhor”. E eu orei e descansei meu coração.

E para a minha alegria o Senhor me deu forças na terça-feira e ontem para desfrutar da presença de tantas pessoas amadas.

Sempre que você estiver num dia difícil ou num mês difícil ou numa temporada difícil, lembre-se de mim e “não presumas o dia de amanhã”, porque as misericórdias do Senhor se renovam a cada manhã e Ele pode te surpreender com um dia incrível.
"
2023-08-28_18-23-38,2023-08-28 18:23:38,['2023-08-28_18-23-38_UTC.jpg'],"A vida também consiste em se reinventar.

Incrível. Desde criança eu amava a vida intelectual. Na infância preferia ler a assistir televisão. Cresci pra ser uma intelectual, phd.
.
Casei e minha vida ganhou outros rumos. Antes mesmo do fim da faculdade eu já estava grávida e tinha certeza que minha carreira estava em casa, com meu marido e  filhos. Não foi fácil, precisei me reinventar totalmente. Mais prática, menos teoria. Mais ocupações, menos livros. No começo eu odiei, mas aos poucos Deus me ensinou a amar.
.
Boa mesmo? Nunca fui realmente boa em nada. Nem na vida intelectual, nem na vida familiar. 
.
Esforçada. Podem me chamar de esforçada. Sempre foi o elogio dos professores e de todos ao meu redor. Sabiam que eu fazia com vontade, com amor, dando tudo de mim. É. E mesmo assim nunca alcancei o status de incrível. 
.
Sei lá.. uma das coisas que mais me doeram com a doença foi perder o que eu aprendi a amar: o cuidado das crianças, da casa e até da comida. Mas eu ainda tinha um pouco de energia pra sentir que eu ainda segurava as coisas, até mesmo a vida intelectual. Acho que amei demais essas coisas, não queria perdê-las. Queria tê-las, queria que fossem minhas, mesmo que eu não fizesse tão bem. 

Agora, sentada ou deitada nessa cadeira a maior parte do meu tempo, com as mãos doendo, o corpo gemendo, é novamente tempo de me reinventar. Ou, talvez, pela minha fraqueza de alma, esperar até que Deus me reinvente, porque no momento eu sinceramente não sei mais como ser esposa, mãe ou qualquer outra coisa.
"
2023-08-26_23-50-46,2023-08-26 23:50:46,['2023-08-26_23-50-46_UTC.jpg'],"Alegria.

O Salmo 4 é um dos meus preferidos, desde a adolescência. O versículo 3 deste Salmo foi o primeiro versículo que eu memorizei — eu tinha doze anos. Lembro- me de escrever aquelas palavras em um caderninho e colocar os dedos sobre as palavras, fechar os olhos e repetí-las com todo meu coração “³ Sabei, pois, que o Senhor separou para si aquele que é piedoso; o Senhor ouvirá quando eu clamar a ele. O Senhor ouvirá quando eu clamar. O Senhor ouvirá quando eu clamar. Aquilo era importante pra mim. E eu me agarro nesse versículo até hoje.

Mas o Salmo vai além, dizendo, nas minhas palavras, “quando os problemas vierem, sofram mas não pequem contra Deus. Quando se deitar, diga ao seu próprio coração que não duvide da bondade Dele, e não reclame como muitos que dizem ‘Quem nos mostrará o bem?’, ou ‘Por que Deus não te tira do problema?”

Então o salmista pede ao Senhor que a luz do rosto Dele seja exaltada sobre ele, ou, nas minhas palavras, “Senhor, que eu seja luz do mundo e o meu sofrimento te traga glória”. E finalmente ele conclui dizendo que mesmo no sofrimento ele tem alegria, mais do que aqueles que têm fartura de tudo, pois o Senhor coloca esta alegria nele — não é dele, vem de Deus, e por isso mesmo ele pode dormir tranquilo: ele sabe que qualquer lugar ou circunstância em que Deus nos coloca é verdadeiramente seguro.

E assim estou eu, nas mãos de Deus, mais alegre do que muita gente que tem abundância de saúde, porque Ele tem ouvido minhas orações, e me dado um pouquinho mais de força a cada dia, e me permitido momentos como o de hoje em que eu pude receber na minha casa provisória minhas amadas irmãs em Cristo em uma tarde muito especial. 

Louvado seja o Senhor que “me tem dado alívio na angústia” (Salmo 4:1)
"
2023-08-20_15-38-44,2023-08-20 15:38:44,['2023-08-20_15-38-44_UTC.jpg'],"Vida. Mais vida pra esse Instagram. Hoje é Domingo. Se você é católico romano ou protestante e voltar 150 anos na história, você verá os estabelecimentos fechados e a população cristã preocupada em se arrumar e chegar em suas igrejas para começar a semana recebendo graça e misericórdia das mãos do Dono da Vida.
.
Em que ponto isso foi abandonado e o Domingo da ressureição de Cristo passou a ser visto como um dia qualquer, ou como “o meu dia de descansar”, ou como um ótimo dia para a faxina, eu não sei. Mas desde que eu e meu marido nos casamos há quase doze anos, nós nos comprometemos a deixar tudo de lado nesse dia para estar diante do Rei, Salvador, Senhor de nossas vidas, com as mãos miseravelmente vazias estendidas diante Dele implorando por pão. Não aquele pão que seca ou mofa, mas aquele Pão que sacia nossa verdadeira fome e nos sustenta para a eternidade. 
.
Agora ir pra igreja tem sido um desafio: quatro crianças, só meu marido pra conferir roupas, cabelos, fralda, café da manhã. Saímos de casa carregando uma cadeira reclinável, travesseiro, e coberta, além de água remédios — um acampamento inteiro (risos) — para que eu possa suportar estar ali. Mas vamos! 
.
Deus merece. Sim, Ele realmente merece que eu esteja lá. Mas não é por isso. É porque EU PRECISO. Eu preciso Dele. Acima de tudo, eu preciso muito das Suas Palavras para viver.
"
2023-08-14_11-58-53,2023-08-14 11:58:53,['2023-08-14_11-58-53_UTC.jpg'],"Quero deixar aqui esse registro aleatório do meio da realidade caótica de alguém que sabe o que é ser pai e executa esse dever com maestria. E que nesses últimos dois anos tem sido pai e mãe ao mesmo tempo — não tem sido fácil, mas até aqui o Senhor tem ajudado. Quando orarem por mim, orem por ele também.
"
